CB|172|58|27/12/2006|442463138.84|442463138.84|P|27/12/2006|zizah|C|
AR|173|1|27/12/2006|47871986.0|47871986.0|P|27/12/2006|zizah|C|
GL|174|9|28/12/2006|2479572.0|2479572.0|P|29/12/2006|zizah|C|
AR|175|5|03/01/2007|327922917.0|327922917.0|P|03/01/2007|lhhb|H|
CB|176|5|03/01/2007|327922917.0|327922917.0|P|03/01/2007|lhhb|H|
GL|177|25|08/01/2007|217298564.07|217298564.07|P|11/01/2007|zizah|C|
AR|178|1732|11/01/2007|3455677917.1|3455677917.1|P|11/01/2007|zizah|C|
AP|179|678|11/01/2007|2826379559.5|2826379559.5|P|11/01/2007|zizah|C|
CB|180|70|11/01/2007|524465543.28|524465543.28|P|11/01/2007|zizah|C|
GL|181|6|11/01/2007|215993115.0|215993115.0|P|11/01/2007|zizah|C|
AP|182|1|11/01/2007|1458000.0|1458000.0|P|11/01/2007|zizah|C|
GL|183|1|11/01/2007|77278229.0|77278229.0|P|11/01/2007|zizah|C|
AR|184|14|11/01/2007|1018528918.0|1018528918.0|P|11/01/2007|zizah|C|
AR|185|4|11/01/2007|152587740.0|152587740.0|P|15/01/2007|zizah|C|
GL|186|14|13/01/2007|12406884.19|12406884.19|P|15/01/2007|zizah|C|
AP|187|1|15/01/2007|15266000.0|15266000.0|P|15/01/2007|zizah|C|
CB|188|3|15/01/2007|5668500.0|5668500.0|P|15/01/2007|zizah|C|
GL|189|2|15/01/2007|218182.0|218182.0|P|15/01/2007|zizah|C|
GL|190|4|17/01/2007|36354697.31|36354697.31|P|17/01/2007|zizah|C|
GL|191|4|17/01/2007|10192728.0|10192728.0|P|17/01/2007|zizah|C|
GL|192|1|22/01/2007|2101632.0|2101632.0|P|22/01/2007|zizah|C|
GL|193|2|22/01/2007|2251632.0|2251632.0|P|29/01/2007|zizah|C|
AP|194|1|29/01/2007|7575000.0|7575000.0|P|29/01/2007|zizah|C|
GL|195|29|30/01/2007|195919630.4|195919630.4|P|31/01/2007|zizah|C|
AR|196|1573|31/01/2007|2490518381.5|2490518381.5|P|31/01/2007|zizah|C|
AP|197|576|31/01/2007|1717297257.0|1717297257.0|P|31/01/2007|zizah|C|
CB|198|52|31/01/2007|421851118.38|421851118.38|P|31/01/2007|zizah|C|
GL|199|31|31/01/2007|28375158.0|28375158.0|P|05/02/2007|zizah|C|
AR|200|223|05/02/2007|187566600.0|187566600.0|P|05/02/2007|zizah|C|
AP|201|1|05/02/2007|324000.0|324000.0|P|05/02/2007|zizah|C|
GL|202|1|05/02/2007|122845.0|122845.0|P|05/02/2007|zizah|C|
GL|203|2|07/02/2007|24255000.0|24255000.0|P|08/02/2007|zizah|C|
GL|204|2|08/02/2007|18744792.0|18744792.0|P|08/02/2007|zizah|C|
GL|205|5|12/02/2007|855000.0|855000.0|P|12/02/2007|zizah|C|
GL|206|2|12/02/2007|160625.0|160625.0|P|12/02/2007|zizah|C|
GL|207|3|26/02/2007|9330331.0|9330331.0|P|26/02/2007|zizah|C|
GL|208|3|28/02/2007|8959409.0|8959409.0|P|28/02/2007|zizah|C|
AP|209|1|03/03/2007|1150000.0|1150000.0|P|03/03/2007|zizah|C|
GL|210|1|08/03/2007|2101632.0|2101632.0|P|08/03/2007|zizah|C|
GL|211|4|27/03/2007|21724221.15|21724221.15|P|27/03/2007|zizah|C|
GL|212|1|27/03/2007|1125000.0|1125000.0|P|27/03/2007|zizah|C|
GL|213|25|27/03/2007|192257173.4|192257173.4|P|29/03/2007|zizah|C|
AR|214|1806|29/03/2007|2671966537.0|2671966537.0|P|29/03/2007|zizah|C|
AP|215|344|29/03/2007|1961725264.0|1961725264.0|P|29/03/2007|zizah|C|
CB|216|77|29/03/2007|665199989.52|665199989.52|P|29/03/2007|zizah|C|
